Gene Set Name,Gene Set Description,Gene Symbol,Gene Description
,,BCAM,"Id: ENSG00000187244, Name: basal cell adhesion molecule (Lutheran blood group)"
,,ENG,"Id: ENSG00000106991, Name: endoglin"
,,CAV1,"Id: ENSG00000105974, Name: caveolin 1"
,,ADGRL4,"Id: ENSG00000162618, Name: adhesion G protein-coupled receptor L4"
,,EMCN,"Id: ENSG00000164035, Name: endomucin"
,,KLF2,"Id: ENSG00000127528, Name: KLF transcription factor 2"
,,CD34,"Id: ENSG00000174059, Name: CD34 molecule"
,,IFITM2,"Id: ENSG00000185201, Name: interferon induced transmembrane protein 2"
,,ITM2B,"Id: ENSG00000136156, Name: integral membrane protein 2B"
,,CCDC85B,"Id: ENSG00000175602, Name: coiled-coil domain containing 85B"
,,SLC9A3R2,"Id: ENSG00000065054, Name: NHERF family PDZ scaffold protein 2"
,,FAM167B,"Id: ENSG00000183615, Name: family with sequence similarity 167 member B"
,,TCF4,"Id: ENSG00000196628, Name: transcription factor 4"
,,LEPR,"Id: ENSG00000116678, Name: leptin receptor"
,,DUSP23,"Id: ENSG00000158716, Name: dual specificity phosphatase 23"
,,IGFBP7,"Id: ENSG00000163453, Name: insulin like growth factor binding protein 7"
,,SPARCL1,"Id: ENSG00000152583, Name: SPARC like 1"
,,SELENOW,"Id: ENSG00000178980, Name: selenoprotein W"
,,ARHGAP29,"Id: ENSG00000137962, Name: Rho GTPase activating protein 29"
,,CCL14,"Id: ENSG00000276409, Name: C-C motif chemokine ligand 14"
,,LCN6,"Id: ENSG00000267206, Name: lipocalin 6"
,,CALCRL,"Id: ENSG00000064989, Name: calcitonin receptor like receptor"
,,DIPK2B,"Id: ENSG00000147113, Name: divergent protein kinase domain 2B"
,,LIFR,"Id: ENSG00000113594, Name: LIF receptor subunit alpha"
,,ESAM,"Id: ENSG00000149564, Name: endothelial cell adhesion molecule"
,,TSPAN7,"Id: ENSG00000156298, Name: tetraspanin 7"
,,PALMD,"Id: ENSG00000099260, Name: palmdelphin"
,,CYYR1,"Id: ENSG00000166265, Name: cysteine and tyrosine rich 1"
,,OSBPL1A,"Id: ENSG00000141447, Name: oxysterol binding protein like 1A"
,,NFIB,"Id: ENSG00000147862, Name: nuclear factor I B"
,,RP11-84E17.1,"Id: ENSG00000279483, Name: RP11-84E17.1"
,,MMRN1,"Id: ENSG00000138722, Name: multimerin 1"
,,TMEM88,"Id: ENSG00000167874, Name: transmembrane protein 88"
,,GSN,"Id: ENSG00000148180, Name: gelsolin"
,,RAMP3,"Id: ENSG00000122679, Name: receptor activity modifying protein 3"
,,SNX3,"Id: ENSG00000112335, Name: sorting nexin 3"
,,PCDH17,"Id: ENSG00000118946, Name: protocadherin 17"
,,GUK1,"Id: ENSG00000143774, Name: guanylate kinase 1"
,,RDX,"Id: ENSG00000137710, Name: radixin"
,,HLA-E,"Id: ENSG00000204592, Name: major histocompatibility complex, class I, E"
,,FAM107A,"Id: ENSG00000168309, Name: family with sequence similarity 107 member A"
,,GIMAP4,"Id: ENSG00000133574, Name: GTPase, IMAP family member 4"
,,GIMAP7,"Id: ENSG00000179144, Name: GTPase, IMAP family member 7"
,,ICAM2,"Id: ENSG00000108622, Name: intercellular adhesion molecule 2"
,,PTPRB,"Id: ENSG00000127329, Name: protein tyrosine phosphatase receptor type B"
,,IGFBP4,"Id: ENSG00000141753, Name: insulin like growth factor binding protein 4"
myeloid cell - marker genes,CellGuide's computational marker genes for 'myeloid cell' in uterus tissue,AIF1,"Id: ENSG00000204472, Name: allograft inflammatory factor 1"
,,FTL,"Id: ENSG00000087086, Name: ferritin light chain"
,,CCL3,"Id: ENSG00000277632, Name: C-C motif chemokine ligand 3"
,,NPC2,"Id: ENSG00000119655, Name: NPC intracellular cholesterol transporter 2"
,,C1QA,"Id: ENSG00000173372, Name: complement C1q A chain"
,,C1QB,"Id: ENSG00000173369, Name: complement C1q B chain"
,,CTSS,"Id: ENSG00000163131, Name: cathepsin S"
,,CD14,"Id: ENSG00000170458, Name: CD14 molecule"
,,TYMP,"Id: ENSG00000025708, Name: thymidine phosphorylase"
,,C1QC,"Id: ENSG00000159189, Name: complement C1q C chain"
,,MS4A6A,"Id: ENSG00000110077, Name: membrane spanning 4-domains A6A"
,,IL1B,"Id: ENSG00000125538, Name: interleukin 1 beta"
,,HLA-DRA,"Id: ENSG00000204287, Name: major histocompatibility complex, class II, DR alpha"
,,FCER1G,"Id: ENSG00000158869, Name: Fc epsilon receptor Ig"
,,TYROBP,"Id: ENSG00000011600, Name: transmembrane immune signaling adaptor TYROBP"
,,CTSZ,"Id: ENSG00000101160, Name: cathepsin Z"
,,LST1,"Id: ENSG00000204482, Name: leukocyte specific transcript 1"
,,ATP6V1F,"Id: ENSG00000128524, Name: ATPase H+ transporting V1 subunit F"
,,CD163,"Id: ENSG00000177575, Name: CD163 molecule"
,,LAPTM5,"Id: ENSG00000162511, Name: lysosomal protein transmembrane 5"
